,Name,Website,Total Capital Raised,Company Age,Maximum Employees,Status
0,AutoFi,http://www.autofi.com,29500000.0,5.0,50.0,
1,AutoGraph,https://www.autograph.me,12100000.0,9.0,10.0,
2,Auto I.D.,http://autoidinc.com,1121947.0,7.0,10.0,
3,Automated Insights,http://www.automatedinsights.com,10800000.0,13.0,100.0,
4,Automatic,http://automatic.com,24000000.0,9.0,50.0,
5,Automation Hero,https://automationhero.ai/,19000000.0,3.0,50.0,
6,Automile,https://www.automile.com,47306131.0,7.0,50.0,
7,Automizy,https://www.automizy.com/,1128348.0,6.0,10.0,
8,"automotiveMastermind, Inc",https://www.automotivemastermind.com/,48000041.0,8.0,250.0,
9,Automox,https://www.automox.com/,12600000.0,5.0,100.0,
10,Autonet Mobile,http://www.autonetmobile.com,18206787.0,15.0,100.0,
11,Autonomic,http://autonomic.ai,10756312.0,4.0,100.0,
12,Autonomous Healthcare,http://www.autonomoushealthcare.com,2646659.0,7.0,10.0,
13,Autonomous Marine Systems,http://www.automarinesys.com/,5770000.0,7.0,10.0,
14,AutopilotHQ,http://www.autopilothq.com,33999999.0,9.0,100.0,
15,AutoVirt,http://www.autovirt.com,24300000.0,13.0,50.0,
16,Autzu,https://www.autzu.com,12400000.0,4.0,50.0,
17,Ava,http://www.ava.me/,1845000.0,6.0,10.0,
18,AVA,http://www.eatwithava.com/,3000000.0,4.0,250.0,
19,Avaamo,https://avaamo.ai,23500000.0,6.0,100.0,
20,Avacen,http://www.avacen.com/avacen/action?do=welcome,2000000.0,8.0,50.0,
21,Avado,http://www.avado.com,1000000.0,9.0,50.0,
22,AVA Health Technologies,http://avahealth.com/,1202510.0,7.0,10.0,
23,Avail,http://www.avail.co,5537500.0,8.0,50.0,
24,Avails Medical,http://www.availsmedical.com/,7413020.0,7.0,10.0,
25,Avalon Battery Corporation,http://www.avalonbattery.com/,3140390.0,7.0,50.0,
26,Avalon Healthcare Solutions,http://www.avalonhcs.com/,29272066.0,7.0,100.0,
27,Avalon Solutions Group,http://avalonsolutionsgroup.com,3612500.0,8.0,10.0,
28,Avametric,http://www.avametric.com,10620000.0,8.0,50.0,
29,Avanan,http://www.avanan.com,41400000.0,6.0,100.0,
30,Avancen MOD,http://www.avancen.com,1643849.0,11.0,50.0,
31,Avanoo,http://www.avanoo.com,7900000.0,7.0,50.0,
32,AvanSci Bio,http://avanscibio.com,960000.0,9.0,10.0,
33,Avant-garde Health,http://www.avantgardehealth.com,4000000.0,6.0,10.0,
34,AvantStay,http://avantstay.com,26000000.0,4.0,100.0,
35,Avata Intelligence,https://avata.ai,2500000.0,7.0,50.0,
