Name,Website,Total Capital Raised,Company Age,Maximum Employees,Wordpress,40 blogs
0chain,https://0chain.net,39000000,3,50,,
0x,https://0x.org/,24000000,4,50,,
1000memories,http://1000memories.com,2535000,10,10,,
1000museums.com,http://www.1000museums.com,6795451,12,50,,
100Plus,http://www.100plus.com,1250000,9,10,Yes,Yes
101 Commerce,http://www.101-commerce.com/,12700000,2,10,,
10-4 Systems,https://www.10-4.com/,13900000,8,250,,
10sec,https://10s.ec/,1600000,7,50,,
11i Solutions,http://www.11isolutions.com,1800000,13,10,,
120WaterAudit,http://www.120wateraudit.com,7000000,4,50,Yes,Yes
121 Mobile,http://my121mobile.com,4000000,8,10,,
12 Labs,http://www.getapplause.com/,935000,6,10,,
140 Proof,http://140proof.com,5500000,11,50,,
15Five,https://15five.com,42100000,9,250,Yes,Yes
17hats,https://www.17hats.com,5250000,6,50,,
180Commerce,https://180commerce.com/,1600000,4,50,Yes,Yes
19Labs,http://www.19labs.com/,1000000,5,10,,
1 Atelier LLC,https://1atelier.com,1500000,6,10,,
1CommMedical,http://1commmedical.com,3499984,7,10,,
1DocWay,http://1docway.com,1700000,9,50,,
1Energy Systems,http://1energysystems.com,1450000,10,50,,
1Huddle,http://www.1huddle.co,2875000,5,50,,
1 Mainstream,http://www.1mainstream.com,5000000,8,50,,
1-Page,http://www.1-page.com,1800000,9,250,,
1World Online,http://1worldonline.com,19700000,9,50,,
2020 On-site,http://www.2020onsite.com,11798232,7,50,,
20n,http://20n.com/,2220000,7,10,,
20x200,http://www.20x200.com,2800000,13,10,,
24/7 Card,http://www.247card.com,6932941,10,10,,
24M Technologies,http://24-m.com,37832000,10,107,Yes,No
250ok,http://250ok.com,2600000,8,50,Yes,Yes
280 CapMarkets,http://280capmarkets.com,17600000,4,50,Yes,No
28msec,http://www.28msec.com,5844811,12,50,Yes,No
2Hz,https://www.2hz.ai,1975000,3,50,,
2lemetry,http://2lemetry.com,10000000,9,50,,
2nd Address,http://www.2ndaddress.com/,22400000,6,50,,
2RedBeans,http://www.2redbeans.com/en?utm_source=crunchbase,2300000,10,50,,
2ULaundry,https://www.2ulaundry.com/,8900000,5,50,Yes,No
30K,http://www.30k.com/,1200000,8,50,,
33Across,http://www.33across.com,27197830,13,100,Yes,Yes
